"January 11, 2020",Do it,5000% worth every penny.,5.0,positive
"January 11, 2020",Great for any age!,Love this! I hate video games yet I have played and actually enjoy it! I bought for my 12 year old daughter but had to buy 2 more controllers as my 3 and 4 year old boys play as well! Didn’t think they would be able to but they love it and actually comprehend how to play! Great game for the family and for all ages! Little kids and adults! Even my mom (grandma) played along!,5.0,positive
"January 11, 2020",DEAD AFTER 1 MONTH,I purchased this product for my 23 yo son on December 1st and it already won't hold a charge.  It seems to me that this particular switch is faulty but Nintendo won't honor the warranty because it was purchased through Amazon.comI'm very disappointed to say the least.,1.0,negative
"January 11, 2020",Exactly what I ordered,Everything was perfect,5.0,positive
"January 11, 2020",Amazing gift,My kids were waiting for it to come all night,5.0,positive
"January 11, 2020",MINECRAFT LOVERS BEWARE!,"Minecraft lovers beware! We bought this system two years ago, because they had released minecraft for the switch that year and my son loves minecraft. I have always loved Nintendo products and feel as if they are more suitable for children. With that being said, this system has been nothing but a headache from the get go! The game is glitchy, won't load, or constantly shuts off mid-game. Nintendo has to know the Minecraft game is this way because its been this way for two years with no improvement. We have played on other systems with no problem. We have also had problems with our joy con controllers. The joy stick on both gets stuck in forward and its a pain to get them to connect to the system EVERYTIME! It even doesnt want to connect to it when you slide into the sides to play on the go. Needless to say I feel let down by Nintendo and feel this product is very poorly made. Controllers are also very expensive for this sysyem to not last longer than they did! Don't buy just go with a different system! Unless your child loves mario just buy a different system.",1.0,negative
"January 11, 2020",Perfect gift,Bought this for my sone as a gift and he absolutely love it. He likes it so much and due to detachable controller he play the games with me. He likes it and I like it too. Perfect for gifting your loved ones.,5.0,positive
"January 11, 2020",Great,You can play lots of games,5.0,positive
"January 11, 2020",Love it,Best thing ever. Games are awesome.,5.0,positive
"January 11, 2020",Great definition and intuitive to operate.,I don't have to talk to or engage with my kids anymore ever since I bought this. It's a game changer for any parent.  Just be sure to limit your kid's time on it so they don't develop a hunch back.,5.0,positive
"January 11, 2020",Highly recommend,Just as described. Highly recommend,5.0,positive
"January 11, 2020",Awesome product,"Works great, Kids love it!",5.0,positive
"January 11, 2020",⭐️⭐️⭐️⭐️⭐️,Nothing to dislike! Great product at at great price.,5.0,positive
"January 11, 2020",This gadget is so popular with the millennial!,"My daughter just loved this Nintendo switch, nice color too! She’s hooked playing with the game she liked, once she’s starts she don’t want to stop!",5.0,positive
"January 10, 2020",GREAT BUY,Beautiful switch runs smooth. Box came in perfect conedition.,5.0,positive
"January 10, 2020",Nintendo switch,Nice product,5.0,positive
"January 10, 2020",I want my Nintendo,I am depressed : ( bought this to help my Sadness and now I feel like I am going to hit a nervous breakdown,1.0,negative
"April 25, 2020",Works for 6 months then unresponsive,After 6 months my Switch is unresponsive. Have tried all the recommended fixes and still nothing. If you want a $500 dollar toy that works for a few months then this is your toy.,2.0,negative
"April 25, 2020",WAIT TO BUY THE SWITCH!,"Price gouging at its finest...Folks, don't waste your time and hard earned money on those who look to rip people off during a pandemic. Nintendo will be releasing them again soon at the normal price of $299.00. The people looking to pawn these off are probably the same people with a garage full of hand sanitizer and toilet paper rolls. Let their surplus of Switches stagnate like 40 boxes of a failed MLM campaign.",1.0,negative
"April 25, 2020",minor problems but all right,"didn’t come in the original box, had a few scratches on the dock not worth the jump in price but that’s what u get for buying it off someone else  :( on the bright side it still works and came faster than expected",3.0,negative
